"mreviewId";"reviewId";"menuItemId";"ItemReview";"menuItemRating"
1;15;66;"est ac";0
2;68;85;"consequat nec, mollis vitae, posuere at, velit. Cras lorem lorem, luctus";5
3;26;5;"justo eu arcu. Morbi sit amet massa. Quisque porttitor eros";3
4;13;79;"blandit mattis. Cras eget";3
5;18;55;"amet, consectetuer adipiscing";5
6;14;62;"Quisque nonummy ipsum non arcu. Vivamus sit amet risus. Donec egestas. Aliquam nec enim. Nunc";3
7;94;51;"non, lobortis quis, pede. Suspendisse dui. Fusce diam nunc, ullamcorper eu, euismod ac, fermentum vel, mauris. Integer sem elit,";0
8;95;3;"cursus, diam at pretium aliquet, metus urna convallis erat, eget tincidunt dui augue eu tellus. Phasellus elit pede, malesuada vel,";4
9;72;7;"interdum feugiat. Sed nec metus facilisis lorem tristique aliquet. Phasellus fermentum convallis";5
10;87;7;"eleifend. Cras sed leo. Cras";0
11;65;87;"scelerisque neque sed sem egestas blandit.";3
12;79;52;"Nunc sed orci lobortis augue scelerisque mollis. Phasellus libero mauris, aliquam eu, accumsan sed, facilisis vitae, orci. Phasellus dapibus";2
13;93;29;"convallis convallis dolor. Quisque tincidunt pede ac urna. Ut tincidunt";0
14;70;68;"lectus. Nullam suscipit, est ac facilisis facilisis, magna tellus";2
15;70;76;"non, lobortis quis, pede.";4
16;19;17;"Donec at arcu. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices";4
17;46;70;"libero.";4
18;89;15;"a, magna. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Etiam";0
19;15;35;"ut quam vel sapien imperdiet ornare. In faucibus. Morbi vehicula. Pellentesque tincidunt tempus risus.";1
20;92;42;"nunc, ullamcorper eu, euismod ac, fermentum vel, mauris.";4
21;84;35;"Fusce";5
22;64;66;"ante, iaculis nec, eleifend non, dapibus rutrum, justo. Praesent";3
23;62;92;"purus sapien, gravida non, sollicitudin a, malesuada id, erat. Etiam vestibulum massa rutrum magna. Cras convallis convallis dolor. Quisque tincidunt";3
24;86;65;"Nullam ut nisi a odio semper cursus. Integer mollis. Integer tincidunt aliquam arcu. Aliquam ultrices iaculis";4
25;80;41;"egestas lacinia. Sed congue, elit sed consequat auctor, nunc nulla vulputate";1
26;74;60;"Nunc mauris";1
27;99;99;"nulla. In tincidunt congue turpis. In condimentum. Donec at arcu. Vestibulum ante ipsum primis";5
28;15;38;"Cras pellentesque. Sed dictum. Proin";1
29;96;43;"blandit congue. In scelerisque scelerisque";1
30;7;5;"facilisis, magna tellus faucibus leo, in lobortis tellus";3
31;61;9;"Duis cursus, diam at pretium aliquet, metus urna convallis erat, eget tincidunt dui";2
32;70;83;"Suspendisse tristique neque venenatis lacus. Etiam bibendum fermentum metus. Aenean sed pede";4
33;61;53;"adipiscing elit. Aliquam auctor, velit eget laoreet posuere, enim nisl elementum purus, accumsan interdum libero dui nec";5
34;13;68;"cursus et, magna. Praesent interdum";5
35;100;87;"Sed molestie. Sed id risus quis diam luctus";1
36;16;78;"tellus id nunc interdum feugiat. Sed nec metus facilisis lorem tristique aliquet. Phasellus";3
37;73;51;"ligula. Aenean euismod mauris eu elit. Nulla facilisi. Sed neque. Sed eget lacus. Mauris non";3
38;3;34;"turpis. Nulla aliquet.";3
39;48;34;"lorem ipsum sodales purus, in molestie tortor";3
40;47;86;"ac mattis semper, dui lectus rutrum urna, nec luctus felis purus ac tellus. Suspendisse sed";0
41;43;43;"feugiat tellus lorem eu metus. In lorem. Donec elementum, lorem ut aliquam iaculis, lacus pede sagittis";2
42;75;43;"primis in faucibus orci luctus et ultrices posuere cubilia Curae; Phasellus ornare. Fusce mollis. Duis sit amet diam eu";2
43;1;17;"Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque";0
44;66;54;"Sed eu eros. Nam consequat dolor vitae dolor. Donec fringilla. Donec feugiat metus";1
45;97;99;"eget massa. Suspendisse eleifend. Cras sed leo. Cras vehicula aliquet libero. Integer in magna.";5
46;33;71;"semper egestas, urna justo faucibus lectus, a sollicitudin orci sem eget massa. Suspendisse eleifend. Cras sed";0
47;53;10;"massa rutrum magna. Cras convallis convallis dolor. Quisque tincidunt pede ac urna. Ut tincidunt vehicula risus. Nulla";4
48;31;64;"commodo auctor";2
49;26;89;"sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at";5
50;77;78;"augue eu tellus.";1
51;100;33;"lobortis risus. In mi pede, nonummy ut, molestie";4
52;28;71;"porttitor tellus non magna. Nam ligula";5
53;78;43;"vel, venenatis";2
54;44;95;"nec urna suscipit nonummy. Fusce fermentum fermentum arcu. Vestibulum ante ipsum primis in faucibus orci luctus";2
55;4;45;"vehicula et, rutrum eu, ultrices sit amet, risus. Donec nibh enim, gravida";2
56;98;29;"magna. Ut tincidunt orci quis lectus. Nullam";0
57;48;90;"velit. Quisque varius. Nam porttitor scelerisque neque. Nullam nisl. Maecenas malesuada fringilla est. Mauris eu turpis.";3
58;58;91;"purus, accumsan interdum libero dui nec";3
59;95;100;"vel nisl. Quisque fringilla euismod enim. Etiam gravida molestie arcu. Sed eu nibh vulputate mauris sagittis";3
60;71;17;"a neque. Nullam ut nisi a odio semper cursus. Integer mollis. Integer tincidunt aliquam arcu.";1
61;54;22;"rutrum magna. Cras convallis convallis dolor. Quisque tincidunt pede ac urna. Ut tincidunt vehicula";0
62;50;51;"Lorem ipsum dolor";5
63;15;90;"lectus pede, ultrices a, auctor non, feugiat nec, diam. Duis mi enim, condimentum eget, volutpat ornare,";5
64;82;42;"aliquet, sem ut cursus luctus, ipsum leo elementum";0
65;34;88;"Nulla aliquet. Proin velit.";1
66;26;2;"dolor egestas rhoncus. Proin";2
67;100;92;"nibh. Phasellus nulla. Integer vulputate, risus a ultricies adipiscing, enim mi tempor lorem, eget mollis lectus pede et risus.";4
68;86;33;"laoreet, libero et tristique pellentesque, tellus sem";2
69;35;12;"tellus faucibus leo, in lobortis tellus justo sit amet nulla. Donec non";3
70;30;48;"semper erat, in consectetuer ipsum nunc id enim. Curabitur massa. Vestibulum accumsan neque et nunc. Quisque ornare tortor";1
71;42;77;"senectus et netus et malesuada fames ac turpis egestas. Aliquam fringilla cursus purus. Nullam scelerisque neque";2
72;83;72;"Curae;";0
73;64;82;"egestas. Aliquam fringilla cursus purus. Nullam scelerisque neque sed sem egestas blandit.";5
74;74;51;"ac urna. Ut tincidunt vehicula risus. Nulla eget metus eu erat semper rutrum. Fusce dolor quam, elementum at,";1
75;72;21;"nec, euismod in, dolor. Fusce feugiat. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aliquam auctor, velit eget";4
76;40;12;"Sed neque. Sed eget lacus. Mauris non dui nec urna suscipit nonummy. Fusce fermentum fermentum arcu.";5
77;73;82;"orci lobortis augue scelerisque mollis. Phasellus libero mauris, aliquam eu, accumsan sed, facilisis";3
78;31;10;"aliquam, enim nec tempus scelerisque, lorem ipsum sodales purus,";2
79;41;86;"nec, leo. Morbi neque";2
80;39;18;"vulputate velit eu sem.";3
81;7;91;"lobortis, nisi";2
82;45;49;"Phasellus libero";0
83;93;93;"interdum feugiat. Sed nec metus facilisis lorem tristique";3
84;22;19;"tortor. Nunc commodo auctor velit. Aliquam";4
85;29;81;"congue turpis. In";0
86;64;34;"urna. Vivamus molestie dapibus ligula. Aliquam erat volutpat.";3
87;50;4;"massa. Vestibulum accumsan neque et nunc. Quisque ornare tortor at risus. Nunc ac sem ut dolor dapibus";3
88;22;82;"Cras dictum ultricies ligula. Nullam enim. Sed nulla ante,";1
89;30;88;"dapibus id, blandit at, nisi. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.";5
90;62;17;"semper, dui lectus rutrum urna, nec luctus felis purus ac tellus. Suspendisse sed dolor. Fusce";5
91;92;24;"nec tempus mauris erat eget ipsum. Suspendisse sagittis. Nullam vitae diam. Proin dolor. Nulla semper";4
92;36;27;"pharetra. Nam ac nulla. In tincidunt congue turpis. In condimentum. Donec at arcu. Vestibulum ante ipsum";2
93;38;14;"mattis velit justo nec ante. Maecenas mi felis, adipiscing fringilla, porttitor";0
94;62;7;"felis, adipiscing fringilla, porttitor vulputate, posuere vulputate, lacus. Cras";0
95;37;57;"erat neque";3
96;71;12;"ipsum. Suspendisse sagittis. Nullam vitae diam. Proin dolor. Nulla semper tellus id nunc interdum";0
97;23;88;"ridiculus mus. Proin";2
98;82;1;"Aliquam erat volutpat. Nulla facilisis. Suspendisse commodo tincidunt nibh. Phasellus nulla. Integer vulputate, risus a ultricies adipiscing, enim mi";4
99;38;10;"Vivamus rhoncus. Donec est. Nunc ullamcorper, velit in";1
100;45;16;"dictum magna. Ut tincidunt orci quis lectus. Nullam suscipit, est ac";4
